year,month,brl_usd_price,date,oil_price,conflict
2007,7,1.8811952380952381,2007-07-01,76.92999999999999,0
2007,8,1.9619521739130434,2007-08-01,70.76086956521739,0
2007,9,1.90229,2007-09-01,77.17315789473685,0
2007,10,1.798704347826087,2007-10-01,82.34,0
2007,11,1.7668809523809526,2007-11-01,92.41428571428571,0
2007,12,1.785175,2007-12-01,90.92684210526315,0
2008,1,1.7709619047619047,2008-01-01,92.17809523809524,0
2008,2,1.728995,2008-02-01,94.9865,0
2008,3,1.7090476190476191,2008-03-01,103.63550000000001,0
2008,4,1.6863454545454546,2008-04-01,109.07136363636364,0
2008,5,1.6584619047619047,2008-05-01,122.79714285714284,0
2008,6,1.6179190476190477,2008-06-01,132.32238095238094,0
2008,7,1.5899545454545454,2008-07-01,132.71818181818182,0
2008,8,1.6127380952380952,2008-08-01,113.24333333333334,0
2008,9,1.8030809523809523,2008-09-01,97.23476190476191,0
2008,10,2.180995454545455,2008-10-01,71.58217391304348,0
2008,11,2.2704333333333335,2008-11-01,52.45263157894737,0
2008,12,2.3953954545454548,2008-12-01,39.94681818181818,0
2009,1,2.307935,2009-01-01,43.439499999999995,0
2009,2,2.322973684210526,2009-02-01,43.32473684210526,0
2009,3,2.3160954545454544,2009-03-01,46.540454545454544,0
2009,4,2.2026954545454545,2009-04-01,50.18190476190476,0
2009,5,2.0688950000000004,2009-05-01,57.302499999999995,0
2009,6,1.9585772727272728,2009-06-01,68.60954545454545,0
2009,7,1.932808695652174,2009-07-01,64.43545454545455,0
2009,8,1.845314285714286,2009-08-01,72.50857142857143,0
2009,9,1.818652380952381,2009-09-01,67.64619047619047,0
2009,10,1.7378,2009-10-01,72.76954545454545,0
2009,11,1.7268,2009-11-01,76.662,0
2009,12,1.7508045454545453,2009-12-01,74.45636363636363,0
